PeakID (cmd=annotatePeaks.pl /mnt/beegfs/home/s430452/epigenetics/results/s10_dif_summits/master_summits_down.bed hg38 -size 200,200)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
master_peak_444	chr5	8508607	8508607	+	115.228	NA	Intergenic	MLT1L|LTR|ERVL-MaLR	47682	NR_039663	100616142		NR_039663	ENSG00000284000	MIR4458	mir-4458	microRNA 4458	ncRNA
master_peak_250	chr5	4370641	4370641	+	114.159	NA	Intergenic	(TTTTCTC)n|Simple_repeat|Simple_repeat	-402840	NR_104619	101929153	Hs.385526	NR_104619	ENSG00000249521	LINC02114	-	long intergenic non-protein coding RNA 2114	ncRNA
master_peak_7529	chr5	162134322	162134322	+	113.939	NA	intron (NM_198904, intron 6 of 9)	intron (NM_198904, intron 6 of 9)	66680	NM_000816	2566	Hs.7195	NM_000816	ENSG00000113327	GABRG2	CAE2|ECA2|EIEE74|FEB8|GEFSP3	gamma-aminobutyric acid type A receptor gamma2 subunit	protein-coding
master_peak_4831	chr5	110479220	110479220	+	108.021	NA	intron (NM_001039763, intron 12 of 13)	intron (NM_001039763, intron 12 of 13)	34695	NR_031644	100302159		NR_031644	ENSG00000221436	MIR548F3	MIR548F-3|MIRN548F3|hsa-mir-548f-3	microRNA 548f-3	ncRNA
master_peak_5146	chr5	118554066	118554066	+	99.8382	NA	intron (NR_104610, intron 1 of 9)	MLT1J1|LTR|ERVL-MaLR	8051	NR_104610	101927280	Hs.543951	NR_104610		LINC02208	HRAT56	long intergenic non-protein coding RNA 2208	ncRNA
master_peak_7531	chr5	162209405	162209405	+	99.8077	NA	Intergenic	LTR16C|LTR|ERVL	141763	NM_000816	2566	Hs.7195	NM_000816	ENSG00000113327	GABRG2	CAE2|ECA2|EIEE74|FEB8|GEFSP3	gamma-aminobutyric acid type A receptor gamma2 subunit	protein-coding
master_peak_4826	chr5	110378466	110378466	+	96.7735	NA	Intergenic	Intergenic	135449	NR_031644	100302159		NR_031644	ENSG00000221436	MIR548F3	MIR548F-3|MIRN548F3|hsa-mir-548f-3	microRNA 548f-3	ncRNA
master_peak_5137	chr5	117415315	117415315	+	93.3988	NA	promoter-TSS (NR_046089)	promoter-TSS (NR_046089)	-197	NR_046089	728342	Hs.434420	NR_046089		LINC00992	-	long intergenic non-protein coding RNA 992	ncRNA
master_peak_7745	chr5	167755006	167755006	+	92.9232	NA	promoter-TSS (NM_001080428)	promoter-TSS (NM_001080428)	77	NM_001080428	57451	Hs.631957	NM_001080428	ENSG00000145934	TENM2	ODZ2|TEN-M2|TNM2|ten-2	teneurin transmembrane protein 2	protein-coding
master_peak_7216	chr5	155514519	155514519	+	92.8854	NA	Intergenic	Intergenic	500764	NM_001099293	285643	Hs.567824	NM_001099293	ENSG00000226650	KIF4B	-	kinesin family member 4B	protein-coding
master_peak_7854	chr5	169788439	169788439	+	87.9386	NA	intron (NR_156756, intron 25 of 52)	intron (NR_156756, intron 25 of 52)	151164	NR_156756	1794	Hs.586174	NM_004946	ENSG00000134516	DOCK2	IMD40	dedicator of cytokinesis 2	protein-coding
master_peak_5143	chr5	118224918	118224918	+	86.0562	NA	intron (NR_104997, intron 2 of 2)	intron (NR_104997, intron 2 of 2)	-57656	NR_104609	100505811	Hs.369776	NR_104609	ENSG00000250427	LINC02148	HNCAT21	long intergenic non-protein coding RNA 2148	ncRNA
master_peak_2588	chr5	59894181	59894181	+	84.8315	NA	promoter-TSS (NM_001104631)	promoter-TSS (NM_001104631)	-455	NM_001104631	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
master_peak_7558	chr5	162865910	162865910	+	84.109	NA	Intergenic	L2c|LINE|L2	-571661	NM_001364015	900	Hs.79101	NM_004060	ENSG00000113328	CCNG1	CCNG	cyclin G1	protein-coding
master_peak_524	chr5	9717225	9717225	+	83.9876	NA	intron (NR_027112, intron 5 of 12)	intron (NR_027112, intron 5 of 12)	-86874	NM_019599	50834	Hs.567492	NM_019599	ENSG00000169777	TAS2R1	T2R1|TRB7	taste 2 receptor member 1	protein-coding
master_peak_736	chr5	13511018	13511018	+	81.8902	NA	Intergenic	Intergenic	433462	NM_001369	1767	Hs.212360	NM_001369	ENSG00000039139	DNAH5	CILD3|DNAHC5|HL1|KTGNR|PCD	dynein axonemal heavy chain 5	protein-coding
master_peak_390	chr5	7322058	7322058	+	81.0461	NA	Intergenic	MLT1F2|LTR|ERVL-MaLR	-15344	NR_033906	442132	Hs.727388	NM_001034846		LOC442132	-	golgin A6 family-like 1 pseudogene	pseudo
master_peak_526	chr5	9774891	9774891	+	80.6156	NA	intron (NR_027112, intron 4 of 12)	L1MA3|LINE|L1	-79486	NR_147004	105374648	Hs.158853	NR_147004		LINC02221	-	long intergenic non-protein coding RNA 2221	ncRNA
master_peak_7562	chr5	163105843	163105843	+	79.4106	NA	Intergenic	L2c|LINE|L2	-331728	NM_001364015	900	Hs.79101	NM_004060	ENSG00000113328	CCNG1	CCNG	cyclin G1	protein-coding
master_peak_920	chr5	16412488	16412488	+	78.5338	NA	intron (NR_104625, intron 7 of 8)	intron (NR_104625, intron 7 of 8)	28614	NR_104625	101929505	Hs.639360	NR_104625	ENSG00000248150	LINC02150	-	long intergenic non-protein coding RNA 2150	ncRNA
master_peak_6454	chr5	142513104	142513104	+	77.9824	NA	Intergenic	L2a|LINE|L2	108230	NM_001257212	2246	Hs.483635	NM_000800	ENSG00000113578	FGF1	AFGF|ECGF|ECGF-beta|ECGFA|ECGFB|FGF-1|FGF-alpha|FGFA|GLIO703|HBGF-1|HBGF1	fibroblast growth factor 1	protein-coding
master_peak_4822	chr5	110258987	110258987	+	77.2516	NA	Intergenic	Intergenic	254928	NR_031644	100302159		NR_031644	ENSG00000221436	MIR548F3	MIR548F-3|MIRN548F3|hsa-mir-548f-3	microRNA 548f-3	ncRNA
master_peak_7235	chr5	156391599	156391599	+	76.7241	NA	intron (NM_001128209, intron 2 of 7)	MER2|DNA|TcMar-Tigger	64435	NM_001128209	6444	Hs.387207	NM_000337	ENSG00000170624	SGCD	35DAG|CMD1L|DAGD|LGMDR6|SG-delta|SGCDP|SGD	sarcoglycan delta	protein-coding
master_peak_397	chr5	7714496	7714496	+	75.7945	NA	intron (NM_020546, intron 11 of 24)	MIR|SINE|MIR	136637	NM_001089584	134121	Hs.709979	NM_001089584	ENSG00000215217	C5orf49	-	chromosome 5 open reading frame 49	protein-coding
master_peak_5608	chr5	128775013	128775013	+	71.8362	NA	Intergenic	Intergenic	-190114	NM_001317984	28965	Hs.49765	NM_014031	ENSG00000113396	SLC27A6	ACSVL2|FACVL2|FATP6|VLCS-H1	solute carrier family 27 member 6	protein-coding
master_peak_6042	chr5	136979466	136979466	+	69.2138	NA	exon (NM_004598, exon 10 of 11)	exon (NM_004598, exon 10 of 11)	-148731	NR_134246	105379192	Hs.124611	NR_134246		LOC105379192	-	uncharacterized LOC105379192	ncRNA
master_peak_420	chr5	8061430	8061430	+	68.9243	NA	Intergenic	Intergenic	192282	NR_157168	4552	Hs.481551	NM_002454	ENSG00000124275	MTRR	MSR|cblE	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	protein-coding
master_peak_6745	chr5	147782927	147782927	+	68.811	NA	promoter-TSS (NM_001270941)	promoter-TSS (NM_001270941)	-199	NM_001282282	9832	Hs.740461	NM_014790	ENSG00000176049	JAKMIP2	JAMIP2|NECC1	janus kinase and microtubule interacting protein 2	protein-coding
master_peak_533	chr5	9888953	9888953	+	67.6739	NA	intron (NR_027112, intron 2 of 12)	intron (NR_027112, intron 2 of 12)	14871	NR_027112	285692	Hs.651487	NR_027112	ENSG00000249781	LINC02112	-	long intergenic non-protein coding RNA 2112	ncRNA
master_peak_2777	chr5	64166081	64166081	+	67.4848	NA	intron (NM_001113561, intron 1 of 7)	CpG	238	NM_001113561	285671	Hs.657843	NM_178532	ENSG00000164197	RNF180	RINES	ring finger protein 180	protein-coding
master_peak_7108	chr5	153135819	153135819	+	66.0538	NA	Intergenic	Intergenic	-163470	NR_109877	101927134	Hs.531423	NR_109877	ENSG00000249484	LINC01470	-	long intergenic non-protein coding RNA 1470	ncRNA
master_peak_7655	chr5	165525646	165525646	+	66.0239	NA	Intergenic	Intergenic	1055367	NR_105065	102546299	Hs.437730	NR_105065	ENSG00000241956	LOC102546299	-	uncharacterized LOC102546299	ncRNA
master_peak_4845	chr5	110916794	110916794	+	64.6611	NA	Intergenic	Intergenic	-153286	NR_045089	85480	Hs.389874	NM_033035	ENSG00000145777	TSLP	-	thymic stromal lymphopoietin	protein-coding
master_peak_823	chr5	14593784	14593784	+	64.0264	NA	intron (NM_019018, intron 1 of 7)	intron (NM_019018, intron 1 of 7)	11992	NM_019018	54491	Hs.155085	NM_019018	ENSG00000145569	OTULINL	FAM105A|NET20	OTU deubiquitinase with linear linkage specificity like	protein-coding
master_peak_232	chr5	3634475	3634475	+	63.6287	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	38643	NM_024337	79192	Hs.424156	NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
master_peak_915	chr5	16313176	16313176	+	63.594	NA	Intergenic	Charlie4z|DNA|hAT-Charlie	127926	NR_104625	101929505	Hs.639360	NR_104625	ENSG00000248150	LINC02150	-	long intergenic non-protein coding RNA 2150	ncRNA
master_peak_862	chr5	15203815	15203815	+	62.9366	NA	intron (NR_109944, intron 2 of 2)	intron (NR_109944, intron 2 of 2)	62745	NR_109944	101929454	Hs.453273	NR_109944		LINC02149	-	long intergenic non-protein coding RNA 2149	ncRNA
master_peak_7945	chr5	171668189	171668189	+	62.5163	NA	Intergenic	Intergenic	-117683	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
master_peak_249	chr5	4348756	4348756	+	62.4222	NA	Intergenic	CR1_Mam|LINE|CR1	-424725	NR_104619	101929153	Hs.385526	NR_104619	ENSG00000249521	LINC02114	-	long intergenic non-protein coding RNA 2114	ncRNA
master_peak_14	chr5	54106	54106	+	62.1439	NA	Intergenic	CpG	-38062	NM_052909	153478	Hs.535800	NM_052909	ENSG00000153404	PLEKHG4B	-	pleckstrin homology and RhoGEF domain containing G4B	protein-coding
master_peak_866	chr5	15249516	15249516	+	59.7715	NA	intron (NR_109944, intron 1 of 2)	intron (NR_109944, intron 1 of 2)	17044	NR_109944	101929454	Hs.453273	NR_109944		LINC02149	-	long intergenic non-protein coding RNA 2149	ncRNA
master_peak_435	chr5	8366699	8366699	+	59.2658	NA	intron (NR_039984, intron 3 of 5)	intron (NR_039984, intron 3 of 5)	90865	NR_039984	729506	Hs.566412	NR_039984	ENSG00000245729	LINC02226	-	long intergenic non-protein coding RNA 2226	ncRNA
master_peak_521	chr5	9654191	9654191	+	58.8705	NA	intron (NR_027112, intron 11 of 12)	intron (NR_027112, intron 11 of 12)	-23840	NM_019599	50834	Hs.567492	NM_019599	ENSG00000169777	TAS2R1	T2R1|TRB7	taste 2 receptor member 1	protein-coding
master_peak_6600	chr5	145350919	145350919	+	57.112	NA	Intergenic	Intergenic	484423	NM_205846	153768	Hs.314261	NM_138492	ENSG00000186314	PRELID2	-	PRELI domain containing 2	protein-coding
master_peak_913	chr5	16265565	16265565	+	56.9422	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	85324	NR_149044	401176	Hs.369777	NR_149044		LOC401176	-	uncharacterized LOC401176	ncRNA
master_peak_6880	chr5	149581565	149581565	+	56.2937	NA	promoter-TSS (NM_001001669)	promoter-TSS (NM_001001669)	67	NM_001001669	389337	Hs.256206	NM_001001669	ENSG00000183111	ARHGEF37	-	Rho guanine nucleotide exchange factor 37	protein-coding
master_peak_903	chr5	16057630	16057630	+	56.2301	NA	Intergenic	Intergenic	122161	NM_001102562	441061	Hs.662216	NM_001102562	ENSG00000183654	MARCH11	MARCH-XI|RNF226	membrane associated ring-CH-type finger 11	protein-coding
master_peak_243	chr5	4117227	4117227	+	55.9064	NA	Intergenic	L1ME3G|LINE|L1	521395	NM_024337	79192	Hs.424156	NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
master_peak_5613	chr5	128965472	128965472	+	55.8595	NA	promoter-TSS (NM_001017372)	promoter-TSS (NM_001017372)	-16	NM_001017372	28965	Hs.49765	NM_014031	ENSG00000113396	SLC27A6	ACSVL2|FACVL2|FATP6|VLCS-H1	solute carrier family 27 member 6	protein-coding
master_peak_6760	chr5	148012104	148012104	+	55.4192	NA	Intergenic	Intergenic	-51868	NM_006846	11005	Hs.331555	NM_006846	ENSG00000133710	SPINK5	LEKTI|LETKI|NETS|NS|VAKTI	serine peptidase inhibitor, Kazal type 5	protein-coding
master_peak_7549	chr5	162640501	162640501	+	54.5374	NA	Intergenic	L1MA1|LINE|L1	572859	NM_000816	2566	Hs.7195	NM_000816	ENSG00000113327	GABRG2	CAE2|ECA2|EIEE74|FEB8|GEFSP3	gamma-aminobutyric acid type A receptor gamma2 subunit	protein-coding
master_peak_432	chr5	8330213	8330213	+	53.0733	NA	Intergenic	Intergenic	127351	NR_039984	729506	Hs.566412	NR_039984	ENSG00000245729	LINC02226	-	long intergenic non-protein coding RNA 2226	ncRNA
master_peak_5643	chr5	129963864	129963864	+	52.9744	NA	intron (NM_175856, intron 2 of 2)	intron (NM_175856, intron 2 of 2)	59399	NM_175856	337876	Hs.213137	NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
master_peak_6766	chr5	148186713	148186713	+	52.5921	NA	Intergenic	Intergenic	-16081	NM_001195290	404203	Hs.334274	NM_205841	ENSG00000178172	SPINK6	BUSI2|UNQ844	serine peptidase inhibitor, Kazal type 6	protein-coding
master_peak_8182	chr5	175797288	175797288	+	52.5352	NA	intron (NM_006650, intron 1 of 4)	CpG	755	NM_006650	10814	Hs.193235	NM_006650	ENSG00000145920	CPLX2	921-L|CPX-2|CPX2|Hfb1	complexin 2	protein-coding
master_peak_7838	chr5	169576522	169576522	+	52.2983	NA	Intergenic	Intergenic	-7251	NM_001329639	54908	Hs.368710	NM_017785	ENSG00000040275	SPDL1	CCDC99	spindle apparatus coiled-coil protein 1	protein-coding
master_peak_4228	chr5	95620759	95620759	+	52.0907	NA	exon (NM_199243, exon 1 of 1)	exon (NM_199243, exon 1 of 1)	672	NM_199243	285601	Hs.143315	NM_199243	ENSG00000178015	GPR150	PGR11	G protein-coupled receptor 150	protein-coding
master_peak_914	chr5	16305219	16305219	+	49.7996	NA	Intergenic	MER72|LTR|ERV1	124978	NR_149044	401176	Hs.369777	NR_149044		LOC401176	-	uncharacterized LOC401176	ncRNA
master_peak_7113	chr5	153223373	153223373	+	49.1832	NA	Intergenic	Intergenic	-251024	NR_109877	101927134	Hs.531423	NR_109877	ENSG00000249484	LINC01470	-	long intergenic non-protein coding RNA 1470	ncRNA
master_peak_416	chr5	7976840	7976840	+	48.757	NA	Intergenic	Intergenic	107692	NR_157168	4552	Hs.481551	NM_002454	ENSG00000124275	MTRR	MSR|cblE	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	protein-coding
master_peak_7502	chr5	161136896	161136896	+	48.7065	NA	Intergenic	L2a|LINE|L2	-198270	NR_151858	285629	Hs.554279	NR_027111	ENSG00000253417	LINC02159	-	long intergenic non-protein coding RNA 2159	ncRNA
master_peak_5945	chr5	135272443	135272443	+	48.5574	NA	intron (NR_161235, intron 3 of 5)	intron (NR_161235, intron 3 of 5)	-24266	NR_037895	340073	Hs.434422	NR_037895	ENSG00000249647	C5orf66-AS2	-	C5orf66 antisense RNA 2	ncRNA
master_peak_7233	chr5	156367968	156367968	+	47.7287	NA	intron (NM_001128209, intron 2 of 7)	intron (NM_001128209, intron 2 of 7)	40804	NM_001128209	6444	Hs.387207	NM_000337	ENSG00000170624	SGCD	35DAG|CMD1L|DAGD|LGMDR6|SG-delta|SGCDP|SGD	sarcoglycan delta	protein-coding
master_peak_7111	chr5	153159994	153159994	+	47.4236	NA	Intergenic	MamTip2|DNA|hAT-Tip100	-187645	NR_109877	101927134	Hs.531423	NR_109877	ENSG00000249484	LINC01470	-	long intergenic non-protein coding RNA 1470	ncRNA
master_peak_5324	chr5	123099897	123099897	+	47.3055	NA	exon (NM_001136239, exon 3 of 8)	exon (NM_001136239, exon 3 of 8)	-9581	NR_146771	105379152	Hs.537420	NR_146771		LOC105379152	-	uncharacterized LOC105379152	ncRNA
master_peak_7236	chr5	156402798	156402798	+	47.2159	NA	intron (NM_001128209, intron 2 of 7)	LTR43|LTR|ERV1	75634	NM_001128209	6444	Hs.387207	NM_000337	ENSG00000170624	SGCD	35DAG|CMD1L|DAGD|LGMDR6|SG-delta|SGCDP|SGD	sarcoglycan delta	protein-coding
master_peak_433	chr5	8341049	8341049	+	46.6154	NA	intron (NR_039984, intron 3 of 5)	L1PA16|LINE|L1	116515	NR_039984	729506	Hs.566412	NR_039984	ENSG00000245729	LINC02226	-	long intergenic non-protein coding RNA 2226	ncRNA
master_peak_5609	chr5	128782820	128782820	+	45.7074	NA	Intergenic	Intergenic	-182307	NM_001317984	28965	Hs.49765	NM_014031	ENSG00000113396	SLC27A6	ACSVL2|FACVL2|FATP6|VLCS-H1	solute carrier family 27 member 6	protein-coding
master_peak_328	chr5	5652515	5652515	+	45.5698	NA	Intergenic	MER1B|DNA|hAT-Charlie	229838	NM_015325	23379	Hs.449296	NM_015325	ENSG00000164151	ICE1	KIAA0947	interactor of little elongation complex ELL subunit 1	protein-coding
master_peak_476	chr5	9035097	9035097	+	43.6615	NA	TTS (NM_003966)	TTS (NM_003966)	18798	NR_039779	100616326		NR_039779	ENSG00000266415	MIR4636	mir-4636	microRNA 4636	ncRNA
master_peak_5003	chr5	113806693	113806693	+	43.002	NA	Intergenic	Intergenic	292999	NM_001345975	64848	Hs.231942	NM_022828	ENSG00000047188	YTHDC2	CAHL|hYTHDC2	YTH domain containing 2	protein-coding
master_peak_1341	chr5	31139216	31139216	+	42.4238	NA	Intergenic	Tigger17a|DNA|TcMar-Tigger	-54470	NM_004932	1004	Hs.124776	NM_004932	ENSG00000113361	CDH6	CAD6|KCAD	cadherin 6	protein-coding
master_peak_4924	chr5	112338916	112338916	+	41.0463	NA	intron (NM_001347887, intron 1 of 23)	L2a|LINE|L2	80361	NM_001347887	64097	Hs.584954	NM_022140	ENSG00000129595	EPB41L4A	EPB41L4|NBL4	erythrocyte membrane protein band 4.1 like 4A	protein-coding
master_peak_868	chr5	15286204	15286204	+	40.8978	NA	Intergenic	Intergenic	-19644	NR_109944	101929454	Hs.453273	NR_109944		LINC02149	-	long intergenic non-protein coding RNA 2149	ncRNA
master_peak_7744	chr5	167744053	167744053	+	40.5808	NA	intron (NM_001368145, intron 1 of 26)	MIR3|SINE|MIR	-10876	NM_001080428	57451	Hs.631957	NM_001080428	ENSG00000145934	TENM2	ODZ2|TEN-M2|TNM2|ten-2	teneurin transmembrane protein 2	protein-coding
master_peak_525	chr5	9767012	9767012	+	40.4614	NA	intron (NR_027112, intron 4 of 12)	L2a|LINE|L2	-87365	NR_147004	105374648	Hs.158853	NR_147004		LINC02221	-	long intergenic non-protein coding RNA 2221	ncRNA
master_peak_258	chr5	4563763	4563763	+	40.1402	NA	Intergenic	L1M1|LINE|L1	-209718	NR_104619	101929153	Hs.385526	NR_104619	ENSG00000249521	LINC02114	-	long intergenic non-protein coding RNA 2114	ncRNA
master_peak_7117	chr5	153464205	153464205	+	39.9817	NA	Intergenic	MER41-int|LTR|ERV1	-26319	NM_001114183	2890	Hs.519693	NM_000827	ENSG00000155511	GRIA1	GLUH1|GLUR1|GLURA|GluA1|HBGR1	glutamate ionotropic receptor AMPA type subunit 1	protein-coding
master_peak_5522	chr5	127229773	127229773	+	39.929	NA	Intergenic	CpG	-60991	NM_001308121	84466	Hs.438709	NM_032446	ENSG00000145794	MEGF10	EMARDD	multiple EGF like domains 10	protein-coding
master_peak_233	chr5	3660445	3660445	+	39.6876	NA	Intergenic	L1MD1|LINE|L1	64613	NM_024337	79192	Hs.424156	NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
master_peak_917	chr5	16335781	16335781	+	39.0875	NA	Intergenic	L1PA2|LINE|L1	105321	NR_104625	101929505	Hs.639360	NR_104625	ENSG00000248150	LINC02150	-	long intergenic non-protein coding RNA 2150	ncRNA
master_peak_532	chr5	9870025	9870025	+	39.0279	NA	intron (NR_027112, intron 4 of 12)	L2|LINE|L2	15648	NR_147004	105374648	Hs.158853	NR_147004		LINC02221	-	long intergenic non-protein coding RNA 2221	ncRNA
master_peak_7525	chr5	162068913	162068913	+	38.2079	NA	intron (NM_198904, intron 1 of 9)	intron (NM_198904, intron 1 of 9)	1271	NM_000816	2566	Hs.7195	NM_000816	ENSG00000113327	GABRG2	CAE2|ECA2|EIEE74|FEB8|GEFSP3	gamma-aminobutyric acid type A receptor gamma2 subunit	protein-coding
master_peak_519	chr5	9645014	9645014	+	37.898	NA	intron (NR_027112, intron 11 of 12)	L1M5|LINE|L1	-14663	NM_019599	50834	Hs.567492	NM_019599	ENSG00000169777	TAS2R1	T2R1|TRB7	taste 2 receptor member 1	protein-coding
master_peak_791	chr5	14250406	14250406	+	37.6079	NA	intron (NM_007118, intron 1 of 56)	intron (NM_007118, intron 1 of 56)	107064	NR_134469	7204	Hs.130031	NM_007118	ENSG00000038382	TRIO	ARHGEF23|MEBAS|MRD44|tgat	trio Rho guanine nucleotide exchange factor	protein-coding
master_peak_867	chr5	15252753	15252753	+	37.4586	NA	intron (NR_109944, intron 1 of 2)	intron (NR_109944, intron 1 of 2)	13807	NR_109944	101929454	Hs.453273	NR_109944		LINC02149	-	long intergenic non-protein coding RNA 2149	ncRNA
master_peak_251	chr5	4373462	4373462	+	37.4054	NA	Intergenic	Intergenic	-400019	NR_104619	101929153	Hs.385526	NR_104619	ENSG00000249521	LINC02114	-	long intergenic non-protein coding RNA 2114	ncRNA
master_peak_2376	chr5	56278832	56278832	+	37.1424	NA	Intergenic	L2a|LINE|L2	-45502	NM_024669	79722	Hs.436214	NM_024669	ENSG00000164512	ANKRD55	-	ankyrin repeat domain 55	protein-coding
master_peak_3738	chr5	83844955	83844955	+	36.9485	NA	Intergenic	Intergenic	-124100	NM_001884	1404	Hs.2799	NM_001884	ENSG00000145681	HAPLN1	CRT1|CRTL1	hyaluronan and proteoglycan link protein 1	protein-coding
master_peak_237	chr5	3741410	3741410	+	36.8695	NA	Intergenic	Intergenic	145578	NM_024337	79192	Hs.424156	NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
master_peak_445	chr5	8517789	8517789	+	35.1451	NA	Intergenic	THE1D|LTR|ERVL-MaLR	56864	NR_039663	100616142		NR_039663	ENSG00000284000	MIR4458	mir-4458	microRNA 4458	ncRNA
master_peak_242	chr5	4083364	4083364	+	35.0701	NA	Intergenic	Intergenic	487532	NM_024337	79192	Hs.424156	NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
master_peak_7517	chr5	161686202	161686202	+	35.0586	NA	intron (NM_000811, intron 1 of 8)	intron (NM_000811, intron 1 of 8)	481	NM_000811	2559	Hs.90791	NM_000811	ENSG00000145863	GABRA6	-	gamma-aminobutyric acid type A receptor alpha6 subunit	protein-coding
master_peak_230	chr5	3613044	3613044	+	34.9717	NA	Intergenic	Intergenic	17212	NM_024337	79192	Hs.424156	NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
master_peak_5002	chr5	113777552	113777552	+	34.7108	NA	Intergenic	MER51A|LTR|ERV1	263858	NM_001345975	64848	Hs.231942	NM_022828	ENSG00000047188	YTHDC2	CAHL|hYTHDC2	YTH domain containing 2	protein-coding
master_peak_4235	chr5	95718623	95718623	+	34.4113	NA	intron (NM_001349303, intron 2 of 8)	L2|LINE|L2	-12713	NM_014899	22836	Hs.445030	NM_014899	ENSG00000164292	RHOBTB3	-	Rho related BTB domain containing 3	protein-coding
