PeakID (cmd=annotatePeaks.pl /mnt/beegfs/home/s430452/epigenetics/results/s10_dif_summits/master_summits_static.bed hg38 -size 200,200)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
master_peak_477	chr5	9047100	9047100	+	553.336	NA	intron (NM_003966, intron 21 of 22)	intron (NM_003966, intron 21 of 22)	6795	NR_039779	100616326		NR_039779	ENSG00000266415	MIR4636	mir-4636	microRNA 4636	ncRNA
master_peak_7069	chr5	151694399	151694399	+	552.945	NA	Intergenic	Intergenic	-7484	NM_003118	6678	Hs.111779	NM_003118	ENSG00000113140	SPARC	BM-40|OI17|ON	secreted protein acidic and cysteine rich	protein-coding
master_peak_93	chr5	912901	912901	+	552.619	NA	intron (NM_004237, intron 10 of 12)	intron (NM_004237, intron 10 of 12)	20017	NM_004237	9319	Hs.436187	NM_004237	ENSG00000071539	TRIP13	16E1BP|MVA3	thyroid hormone receptor interactor 13	protein-coding
master_peak_3477	chr5	78700125	78700125	+	550.388	NA	Intergenic	Intergenic	-51353	NM_005779	10184	Hs.79299	NM_005779	ENSG00000145685	LHFPL2	-	LHFPL tetraspan subfamily member 2	protein-coding
master_peak_6363	chr5	141521650	141521650	+	548.082	NA	intron (NM_001314007, intron 27 of 28)	intron (NM_001314007, intron 27 of 28)	32409	NM_032407	56097	Hs.368160	NM_018929	ENSG00000240764	PCDHGC5	PCDH-GAMMA-C5	protocadherin gamma subfamily C, 5	protein-coding
master_peak_1681	chr5	37772088	37772088	+	545.849	NA	Intergenic	Intergenic	62734	NM_001278098	2668	Hs.248114	NM_000514	ENSG00000168621	GDNF	ATF|ATF1|ATF2|HFB1-GDNF|HSCR3	glial cell derived neurotrophic factor	protein-coding
master_peak_7298	chr5	157731797	157731797	+	543.818	NA	promoter-TSS (NM_001317826)	promoter-TSS (NM_001317826)	-2	NM_001317826	54974	Hs.353090	NM_017872	ENSG00000113272	THG1L	ICF45|IHG-1|hTHG1	tRNA-histidine guanylyltransferase 1 like	protein-coding
master_peak_6138	chr5	138543557	138543557	+	543.067	NA	promoter-TSS (NM_001291975)	promoter-TSS (NM_001291975)	-321	NM_001364160	2107	Hs.483494	NM_004730	ENSG00000120705	ETF1	D5S1995|ERF|ERF1|RF1|SUP45L1|TB3-1	eukaryotic translation termination factor 1	protein-coding
master_peak_6644	chr5	145946732	145946732	+	541.857	NA	intron (NM_152550, intron 2 of 9)	intron (NM_152550, intron 2 of 9)	10154	NM_152550	153769	Hs.443728	NM_152550	ENSG00000156463	SH3RF2	HEPP1|POSHER|PPP1R39|RNF158	SH3 domain containing ring finger 2	protein-coding
master_peak_764	chr5	14036425	14036425	+	540.721	NA	Intergenic	L3b|LINE|CR1	-91945	NM_001369	1767	Hs.212360	NM_001369	ENSG00000039139	DNAH5	CILD3|DNAHC5|HL1|KTGNR|PCD	dynein axonemal heavy chain 5	protein-coding
master_peak_6003	chr5	136053951	136053951	+	540.066	NA	exon (NM_000358, exon 9 of 17)	exon (NM_000358, exon 9 of 17)	24963	NM_000358	7045	Hs.369397	NM_000358	ENSG00000120708	TGFBI	BIGH3|CDB1|CDG2|CDGG1|CSD|CSD1|CSD2|CSD3|EBMD|LCD1	transforming growth factor beta induced	protein-coding
master_peak_6814	chr5	148966244	148966244	+	540.049	NA	Intergenic	Intergenic	96165	NR_030310	693169		NR_030310	ENSG00000207714	MIR584	MIRN584|hsa-mir-584	microRNA 584	ncRNA
master_peak_3115	chr5	72308613	72308613	+	539.396	NA	intron (NM_015084, intron 2 of 10)	intron (NM_015084, intron 2 of 10)	11627	NM_001286751	23107	Hs.482491	NM_015084	ENSG00000113048	MRPS27	MRP-S27|S27mt	mitochondrial ribosomal protein S27	protein-coding
master_peak_5160	chr5	119071150	119071150	+	537.869	NA	promoter-TSS (NM_001290322)	promoter-TSS (NM_001290322)	63	NM_001349239	1657	Hs.181042	NM_005509	ENSG00000172869	DMXL1	-	Dmx like 1	protein-coding
master_peak_8345	chr5	178154150	178154150	+	532.792	NA	promoter-TSS (NM_001034833)	promoter-TSS (NM_001034833)	-190	NM_001034833	55651	Hs.744074	NM_017838	ENSG00000145912	NHP2	DKCB2|NHP2P|NOLA2	NHP2 ribonucleoprotein	protein-coding
master_peak_603	chr5	10720314	10720314	+	532.652	NA	intron (NM_004394, intron 2 of 3)	HERVL-int|LTR|ERVL	40920	NM_004394	1611	Hs.75189	NM_004394	ENSG00000112977	DAP	-	death associated protein	protein-coding
master_peak_4575	chr5	103120402	103120402	+	528.194	NA	promoter-TSS (NM_001317954)	promoter-TSS (NM_001317954)	101	NM_001276277	23262	Hs.212046	NM_015216	ENSG00000145725	PPIP5K2	CFAP160|DFNB100|HISPPD1|IP7K2|VIP2	diphosphoinositol pentakisphosphate kinase 2	protein-coding
master_peak_2854	chr5	65862341	65862341	+	528.101	NA	Intergenic	L1ME4a|LINE|L1	-64213	NM_001006600	55914	Hs.591774	NM_018695	ENSG00000112851	ERBIN	ERBB2IP|HEL-S-78|LAP2	erbb2 interacting protein	protein-coding
master_peak_8311	chr5	177517307	177517307	+	526.508	NA	promoter-TSS (NM_016222)	promoter-TSS (NM_016222)	-346	NM_016222	51428	Hs.484288	NM_016222	ENSG00000183258	DDX41	ABS|MPLPF	DEAD-box helicase 41	protein-coding
master_peak_3268	chr5	74552492	74552492	+	525.65	NA	Intergenic	Intergenic	-15516	NR_126354	104310351	Hs.582291	NR_126354	ENSG00000248673	LINC01331	-	long intergenic non-protein coding RNA 1331	ncRNA
master_peak_7740	chr5	167699868	167699868	+	520.092	NA	intron (NM_001368145, intron 1 of 26)	MIR|SINE|MIR	-55061	NM_001080428	57451	Hs.631957	NM_001080428	ENSG00000145934	TENM2	ODZ2|TEN-M2|TNM2|ten-2	teneurin transmembrane protein 2	protein-coding
master_peak_2345	chr5	55869143	55869143	+	519.721	NA	intron (NM_001242636, intron 3 of 14)	intron (NM_001242636, intron 3 of 14)	15821	NM_001242639	133396	Hs.55378	NM_139017	ENSG00000164509	IL31RA	CRL|CRL3|GLM-R|GLMR|GPL|IL-31RA|PLCA2|PRO21384|hGLM-R	interleukin 31 receptor A	protein-coding
master_peak_7274	chr5	157390970	157390970	+	517.425	NA	intron (NM_001037333, intron 30 of 30)	intron (NM_001037333, intron 30 of 30)	-45293	NM_001001343	408263	Hs.437066	NM_001001343	ENSG00000172568	FNDC9	C5orf40	fibronectin type III domain containing 9	protein-coding
master_peak_6134	chr5	138465270	138465270	+	516.995	NA	promoter-TSS (NM_001964)	promoter-TSS (NM_001964)	-209	NM_001964	1958	Hs.326035	NM_001964	ENSG00000120738	EGR1	AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225	early growth response 1	protein-coding
master_peak_1454	chr5	33441085	33441085	+	509.595	NA	non-coding (NR_047678, exon 1 of 18)	non-coding (NR_047678, exon 1 of 18)	309	NR_047678	6897	Hs.481860	NM_152295	ENSG00000113407	TARS	ThrRS	threonyl-tRNA synthetase	protein-coding
master_peak_308	chr5	5351700	5351700	+	507.692	NA	Intergenic	MER21C|LTR|ERVL	-70977	NM_015325	23379	Hs.449296	NM_015325	ENSG00000164151	ICE1	KIAA0947	interactor of little elongation complex ELL subunit 1	protein-coding
master_peak_6658	chr5	146182915	146182915	+	507.333	NA	promoter-TSS (NM_001317964)	promoter-TSS (NM_001317964)	-128	NM_016460	51520	Hs.432674	NM_016460	ENSG00000133706	LARS	HSPC192|ILFS1|LARS1|LEURS|LEUS|LFIS|LRS|PIG44|RNTLS|hr025Cl	leucyl-tRNA synthetase	protein-coding
master_peak_7003	chr5	150758948	150758948	+	505.812	NA	promoter-TSS (NM_001135644)	promoter-TSS (NM_001135644)	147	NM_016221	51164	Hs.675564	NM_016221	ENSG00000132912	DCTN4	DYN4|P62	dynactin subunit 4	protein-coding
master_peak_4107	chr5	93078837	93078837	+	504.169	NA	Intergenic	Intergenic	492506	NR_109825	441094	Hs.457407	NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
master_peak_1807	chr5	39425393	39425393	+	502.469	NA	promoter-TSS (NM_001244871)	promoter-TSS (NM_001244871)	-160	NM_001244871	1601	Hs.696631	NM_001343	ENSG00000153071	DAB2	DOC-2|DOC2	DAB adaptor protein 2	protein-coding
master_peak_72	chr5	657946	657946	+	501.546	NA	Intergenic	L1MEg|LINE|L1	35406	NM_007030	11076	Hs.481466	NM_007030	ENSG00000171368	TPPP	TPPP/p25|TPPP1|p24|p25|p25alpha	tubulin polymerization promoting protein	protein-coding
master_peak_99	chr5	957654	957654	+	500.231	NA	Intergenic	Intergenic	39686	NR_104614	100506688	Hs.532063	NM_001242737	ENSG00000215246	LOC100506688	-	uncharacterized LOC100506688	ncRNA
master_peak_372	chr5	6766998	6766998	+	499.341	NA	Intergenic	Intergenic	-28882	NR_146281	109729133	Hs.582455	NR_146281	ENSG00000251365	LINC02236	-	long intergenic non-protein coding RNA 2236	ncRNA
master_peak_6075	chr5	137470987	137470987	+	497.168	NA	intron (NM_004598, intron 2 of 10)	MIR|SINE|MIR	28339	NM_004598	6695	Hs.596136	NM_004598	ENSG00000152377	SPOCK1	SPOCK|TESTICAN|TIC1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1	protein-coding
master_peak_783	chr5	14179096	14179096	+	495.923	NA	intron (NM_007118, intron 1 of 56)	intron (NM_007118, intron 1 of 56)	35754	NR_134469	7204	Hs.130031	NM_007118	ENSG00000038382	TRIO	ARHGEF23|MEBAS|MRD44|tgat	trio Rho guanine nucleotide exchange factor	protein-coding
master_peak_292	chr5	5146193	5146193	+	495.137	NA	non-coding (NR_136935, exon 3 of 22)	non-coding (NR_136935, exon 3 of 22)	5863	NM_139056	170690	Hs.661915	NM_139056	ENSG00000145536	ADAMTS16	ADAMTS16s	ADAM metallopeptidase with thrombospondin type 1 motif 16	protein-coding
master_peak_3903	chr5	88661285	88661285	+	493.542	NA	intron (NR_152235, intron 2 of 3)	CpG	5654	NR_030741	407047		NR_030741	ENSG00000284447	MIR9-2	MIRN9-2|hsa-mir-9-2|miRNA9-2|mir-9-2	microRNA 9-2	ncRNA
master_peak_604	chr5	10725335	10725335	+	492.594	NA	intron (NM_004394, intron 2 of 3)	intron (NM_004394, intron 2 of 3)	35899	NM_004394	1611	Hs.75189	NM_004394	ENSG00000112977	DAP	-	death associated protein	protein-coding
master_peak_459	chr5	8829685	8829685	+	491.573	NA	Intergenic	L1PB3|LINE|L1	-10047	NR_109932	101929284	Hs.403715	NR_109932		LINC02199	-	long intergenic non-protein coding RNA 2199	ncRNA
master_peak_3880	chr5	88141717	88141717	+	489.212	NA	Intergenic	Intergenic	127128	NM_001289007	153396	Hs.379972	NM_153354	ENSG00000164180	TMEM161B	FLB3342|PRO1313	transmembrane protein 161B	protein-coding
master_peak_738	chr5	13568193	13568193	+	486.784	NA	Intergenic	MLT1F2|LTR|ERVL-MaLR	376287	NM_001369	1767	Hs.212360	NM_001369	ENSG00000039139	DNAH5	CILD3|DNAHC5|HL1|KTGNR|PCD	dynein axonemal heavy chain 5	protein-coding
master_peak_5067	chr5	115544975	115544975	+	484.653	NA	promoter-TSS (NM_020177)	promoter-TSS (NM_020177)	-200	NM_020177	56929	Hs.47367	NM_020177	ENSG00000145780	FEM1C	EUROIMAGE686608|EUROIMAGE783647|FEM1A	fem-1 homolog C	protein-coding
master_peak_3029	chr5	69218163	69218163	+	483.465	NA	intron (NM_033281, intron 1 of 3)	CpG	403	NM_033281	92259	Hs.631971	NM_033281	ENSG00000134056	MRPS36	DC47|MRP-S36	mitochondrial ribosomal protein S36	protein-coding
master_peak_5075	chr5	115626445	115626445	+	481.871	NA	promoter-TSS (NM_001164468)	promoter-TSS (NM_001164468)	-266	NM_001164469	100302736		NM_001164468	ENSG00000251201	TMED7-TICAM2	MyD88-4|TICAM-2|TICAM2|TIRAP3|TIRP|TRAM	TMED7-TICAM2 readthrough	protein-coding
master_peak_3070	chr5	71601890	71601890	+	480.831	NA	intron (NM_022132, intron 4 of 16)	intron (NM_022132, intron 4 of 16)	14550	NM_022132	64087	Hs.604789	NM_022132	ENSG00000131844	MCCC2	MCCB	methylcrotonoyl-CoA carboxylase 2	protein-coding
master_peak_6409	chr5	141969344	141969344	+	480.781	NA	intron (NM_183401, intron 1 of 8)	CpG	239	NM_183398	9604	Hs.483616	NM_004290	ENSG00000013561	RNF14	ARA54|HFB30|HRIHFB2038|TRIAD2	ring finger protein 14	protein-coding
master_peak_7448	chr5	160166008	160166008	+	478.869	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-21373	NM_001130958	2172	Hs.519719	NM_001445	ENSG00000170231	FABP6	I-15P|I-BABP|I-BALB|I-BAP|ILBP|ILBP3|ILLBP	fatty acid binding protein 6	protein-coding
master_peak_5343	chr5	123512271	123512271	+	478.398	NA	promoter-TSS (NM_001364141)	promoter-TSS (NM_001364141)	94	NM_001364150	1456	Hs.129206	NM_004384	ENSG00000151292	CSNK1G3	CKI-gamma 3|CSNK1G3L	casein kinase 1 gamma 3	protein-coding
master_peak_2735	chr5	62404198	62404198	+	477.412	NA	promoter-TSS (NM_014473)	promoter-TSS (NM_014473)	-293	NM_001348076	27292	Hs.731665	NM_014473	ENSG00000086189	DIMT1	DIM1|DIMT1L|HSA9761|HUSSY5	DIMT1 rRNA methyltransferase and ribosome maturation factor	protein-coding
master_peak_8220	chr5	176388968	176388968	+	476.329	NA	promoter-TSS (NM_001317975)	promoter-TSS (NM_001317975)	-41	NM_001256539	51491	Hs.696283	NM_016391	ENSG00000048162	NOP16	HSPC111|HSPC185	NOP16 nucleolar protein	protein-coding
master_peak_2927	chr5	67011231	67011231	+	473.33	NA	intron (NM_001297651, intron 1 of 25)	intron (NM_001297651, intron 1 of 25)	6576	NM_001290227	375449	Hs.595458	NM_015183	ENSG00000069020	MAST4	-	microtubule associated serine/threonine kinase family member 4	protein-coding
master_peak_2808	chr5	65035961	65035961	+	472.256	NA	Intergenic	CpG	267031	NM_005869	10283	Hs.371372	NM_005869	ENSG00000153015	CWC27	NY-CO-10|RPSKA|SDCCAG-10|SDCCAG10	CWC27 spliceosome associated cyclophilin	protein-coding
master_peak_6205	chr5	139404222	139404222	+	472.147	NA	promoter-TSS (NM_194296)	promoter-TSS (NM_194296)	-135	NM_194296	202051	Hs.373612	NM_194296	ENSG00000170469	SPATA24	CCDC161|T6441	spermatogenesis associated 24	protein-coding
master_peak_6463	chr5	142645405	142645405	+	471.349	NA	intron (NM_001144935, intron 1 of 3)	intron (NM_001144935, intron 1 of 3)	-1104	NM_001257210	2246	Hs.483635	NM_000800	ENSG00000113578	FGF1	AFGF|ECGF|ECGF-beta|ECGFA|ECGFB|FGF-1|FGF-alpha|FGFA|GLIO703|HBGF-1|HBGF1	fibroblast growth factor 1	protein-coding
master_peak_2820	chr5	65199097	65199097	+	471.323	NA	intron (NR_135689, intron 21 of 25)	intron (NR_135689, intron 21 of 25)	282823	NM_197941	11174	Hs.482291	NM_197941	ENSG00000049192	ADAMTS6	ADAM-TS 6|ADAM-TS6|ADAMTS-6	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding
master_peak_5314	chr5	122853142	122853142	+	469.354	NA	intron (NM_014035, intron 1 of 6)	AluY|SINE|Alu	7529	NM_014035	28966	Hs.483200	NM_014035	ENSG00000064652	SNX24	PRO1284|SBBI31	sorting nexin 24	protein-coding
master_peak_7150	chr5	154198544	154198544	+	468.408	NA	intron (NM_198321, intron 1 of 11)	intron (NM_198321, intron 1 of 11)	7811	NM_198321	55568	Hs.631797	NM_017540	ENSG00000164574	GALNT10	GALNACT10|PPGALNACT10|PPGANTASE10	polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
master_peak_6118	chr5	138179153	138179153	+	466.886	NA	promoter-TSS (NM_001300962)	promoter-TSS (NM_001300962)	41	NM_005733	10112	Hs.718626	NM_005733	ENSG00000112984	KIF20A	MKLP2|RAB6KIFL	kinesin family member 20A	protein-coding
master_peak_6923	chr5	150036920	150036920	+	465.414	NA	exon (NM_001366501, exon 11 of 19)	exon (NM_001366501, exon 11 of 19)	36181	NM_001366501	22993	Hs.719189	NM_014983	ENSG00000113716	HMGXB3	HMGX3|SMF	HMG-box containing 3	protein-coding
master_peak_1599	chr5	36152205	36152205	+	464.839	NA	promoter-TSS (NM_005983)	promoter-TSS (NM_005983)	94	NM_005983	6502	Hs.23348	NM_005983	ENSG00000145604	SKP2	FBL1|FBXL1|FLB1|p45	S-phase kinase associated protein 2	protein-coding
master_peak_7862	chr5	169971371	169971371	+	463.889	NA	intron (NM_001346304, intron 1 of 3)	intron (NM_001346304, intron 1 of 3)	9124	NM_001346304	100131897	Hs.721917	NM_001129891	ENSG00000204767	INSYN2B	C5orf57|FAM196B	inhibitory synaptic factor family member 2B	protein-coding
